	fpr	tpr	threshold	train_type	disease
88	0.3850267379679144	1.0	-0.3690076569924817	train	PanCan
89	0.39037433155080214	1.0	-0.3708308305324336	train	PanCan
90	0.39572192513368987	1.0	-0.3849655280927601	train	PanCan
91	0.40106951871657753	1.0	-0.3983501160003108	train	PanCan
92	0.40641711229946526	1.0	-0.4241808640764434	train	PanCan
93	0.4117647058823529	1.0	-0.4299690358705549	train	PanCan
94	0.41711229946524064	1.0	-0.4485936826370035	train	PanCan
95	0.42245989304812837	1.0	-0.4545046669677978	train	PanCan
96	0.42780748663101603	1.0	-0.46584175746804235	train	PanCan
97	0.43315508021390375	1.0	-0.46672612817182146	train	PanCan
98	0.4385026737967914	1.0	-0.4693849691573947	train	PanCan
99	0.44385026737967914	1.0	-0.4708183622839611	train	PanCan
100	0.44919786096256686	1.0	-0.4744375593106752	train	PanCan
101	0.45454545454545453	1.0	-0.47512775516983663	train	PanCan
102	0.45989304812834225	1.0	-0.48343172287562164	train	PanCan
103	0.46524064171123	1.0	-0.49405821168270425	train	PanCan
104	0.47058823529411764	1.0	-0.49474867546134205	train	PanCan
105	0.47593582887700536	1.0	-0.4960733006331154	train	PanCan
106	0.48128342245989303	1.0	-0.5098129916803279	train	PanCan
107	0.48663101604278075	1.0	-0.5206939508069955	train	PanCan
108	0.4919786096256685	1.0	-0.5304385807815343	train	PanCan
109	0.49732620320855614	1.0	-0.5319400495849568	train	PanCan
110	0.5026737967914439	1.0	-0.5321924330190063	train	PanCan
111	0.5080213903743316	1.0	-0.5377617802461933	train	PanCan
112	0.5133689839572193	1.0	-0.5671333181098724	train	PanCan
113	0.5187165775401069	1.0	-0.5722187931964607	train	PanCan
114	0.5240641711229946	1.0	-0.5807601239795604	train	PanCan
115	0.5294117647058824	1.0	-0.5939917662905404	train	PanCan
116	0.5347593582887701	1.0	-0.6032386859465492	train	PanCan
117	0.5401069518716578	1.0	-0.6037050133690186	train	PanCan
118	0.5454545454545454	1.0	-0.6100684837825207	train	PanCan
119	0.5508021390374331	1.0	-0.6295938320712545	train	PanCan
120	0.5561497326203209	1.0	-0.6357560163387813	train	PanCan
121	0.5614973262032086	1.0	-0.6381027225748049	train	PanCan
122	0.5668449197860963	1.0	-0.6695273349623047	train	PanCan
123	0.5721925133689839	1.0	-0.6699739540076549	train	PanCan
124	0.5775401069518716	1.0	-0.6849894866330689	train	PanCan
125	0.5828877005347594	1.0	-0.6877955478769641	train	PanCan
126	0.5882352941176471	1.0	-0.6905003533060167	train	PanCan
127	0.5935828877005348	1.0	-0.6972451892662092	train	PanCan
